ds,y,yhat_prophet,train
2015-11-05,404.913,396.1279541115623,True
2015-11-06,411.37699999999995,401.5714808175183,True
2015-11-07,372.445,357.7733801381072,True
2015-11-08,363.88599999999997,370.7903075216724,True
2015-11-09,402.93300000000005,401.4202313933033,True
2015-11-10,408.599,398.99967433517946,True
2015-11-11,402.05699999999996,402.2986250388153,True
2015-11-12,408.918,390.5010165579787,True
2015-11-13,400.79400000000004,391.98328117535345,True
2015-11-14,380.81699999999995,389.18136926853975,True
2015-11-15,369.631,367.50694281996755,True
2015-11-16,399.038,377.48871350805456,True
2015-11-17,408.81800000000004,421.98916973162403,True
2015-11-18,410.095,392.76183149816626,True
2015-11-19,406.918,373.10815466254667,True
2015-11-20,397.269,383.3577468221085,True
2015-11-21,378.777,376.23574874997945,True
2015-11-22,376.02099999999996,360.7973717891273,True
