ds,y,yhat_prophet,train
2015-11-05,43.162,45.28540472941952,True
2015-11-06,43.001000000000005,44.557150385176115,True
2015-11-07,40.393,41.41374787833117,True
2015-11-08,41.028,38.65623108335619,True
2015-11-09,44.801,42.24275167623352,True
2015-11-10,43.707,44.1919160802625,True
2015-11-11,43.948,47.151072046050594,True
2015-11-12,44.661,47.01941112005432,True
2015-11-13,43.924,44.824961435436556,True
2015-11-14,41.0,40.62103280273009,True
2015-11-15,41.626999999999995,38.17458636108025,True
2015-11-16,45.016999999999996,43.09688829769388,True
2015-11-17,45.288999999999994,45.12756994487556,True
2015-11-18,44.958,45.835546498751675,True
2015-11-19,44.174,43.7410481342189,True
2015-11-20,43.275,41.885403778367525,True
2015-11-21,40.497,39.670224219371946,True
2015-11-22,39.866,40.25843129472266,True
2015-11-23,42.73,42.6574708616821,True
