,"Electricity demand, daily sum, (GWh)","Temperature, daily mean (degC)","Temperature, daily peak (degC)",Holiday,yhat_rf,yhat_svm,yhat_nn
2016-04-10,38.166,14.629861111111111,17.8,False,38.49136342539656,38.66625857450447,40.07667263312645
2016-04-11,41.517,15.927083333333336,21.55,False,42.27087263951433,41.75602579648021,42.95602191394011
2016-04-12,41.334,15.11284722222222,19.6,False,42.287690076926935,42.00711380164765,43.2286584423282
2016-04-13,41.156,14.741666666666667,21.1,False,42.20654343552881,41.80037264058687,42.6068906064723
2016-04-14,40.792,14.505555555555558,20.0,False,42.204577759025554,41.52174139420928,42.54535136657936
2016-04-15,40.802,15.7875,23.9,False,42.236442762475015,41.301817776507775,42.09234711213715
2016-04-16,38.895,18.820833333333333,28.9,False,40.07901776807411,39.564444216556616,40.18289005639155
2016-04-17,40.436,19.654166666666665,29.4,False,43.97075362764088,40.60513379497401,40.99377952465274
2016-04-18,46.457,21.32083333333333,31.1,False,48.50458700987712,46.00827555933395,48.11756900939082
2016-04-19,46.178,20.4125,30.0,False,47.074982037743524,46.003340480727104,46.9699291546125
2016-04-20,44.232,18.541666666666668,26.1,False,45.59310532917295,43.88337497820713,43.875193209100416
2016-04-21,43.167,17.520833333333332,23.3,False,43.097914634683576,42.66670901428851,42.9967727766929
2016-04-22,41.308,14.65763888888889,17.2,False,42.31709605748104,41.77027019226996,43.22322634483768
2016-04-23,38.086,14.658333333333331,21.7,False,38.99218947655042,38.19810461921061,39.37989539714624
2016-04-24,37.92,16.220833333333335,23.3,False,38.24752394358862,38.29664488511328,39.42045034596556
2016-04-25,40.699,15.433333333333335,21.7,False,42.205998017055066,41.590162942641726,42.7178270865229
2016-04-26,41.404,15.604166666666666,21.7,False,42.248206660418134,42.09192147325214,42.93046712345496
2016-04-27,41.311,13.849826388888888,21.7,False,42.13348530184736,41.50721799123582,42.09834873424505
2016-04-28,41.933,17.465810185185187,27.2,False,43.04653761441673,42.970406410355494,42.180161298464725
2016-04-29,41.754,17.308333333333334,25.0,False,43.037110044225564,41.97334176654896,42.45434220858303
2016-04-30,39.309,20.7875,28.3,False,45.466205421074044,40.55881544284762,43.13920960220545
2016-05-01,41.44,20.910416666666663,29.4,False,44.82222974806154,43.96283116869514,45.173050652882694
2016-05-02,45.817,20.14166666666667,28.3,False,46.14967114736683,45.93266953240439,48.24291358925505
2016-05-03,45.732,20.002083333333328,28.9,False,46.225140739008474,47.40061532218584,47.855350156313776
2016-05-04,45.071,18.70833333333333,25.6,False,46.32034749405844,45.571342492401364,46.765794816594024
2016-05-05,42.443,15.808333333333332,17.8,False,43.106794384799905,42.857993293932125,43.419898340208576
2016-05-06,41.762,15.311805555555557,18.3,False,43.106794384799905,42.26172704945806,42.952278638732814
2016-05-07,38.872,15.02777777777778,17.8,False,39.86662587515846,39.29699308690248,39.40123845223641
2016-05-08,38.316,16.90833333333333,22.2,False,39.431118557337065,39.13761360979294,40.98514237934244
2016-05-09,43.469,17.29375,23.9,False,43.751877947973405,42.96879862114697,45.244994949852014
2016-05-10,46.127,20.137500000000006,31.1,False,46.5383072367396,48.57164800577783,48.290780775340316
2016-05-11,48.48,20.78333333333333,31.7,False,47.93307314876609,49.63204151175431,49.8102337702157
2016-05-12,49.974,20.50416666666667,31.7,False,47.31758473408131,49.28768642189125,49.16855753582328
2016-05-13,44.952,17.466666666666665,25.0,False,43.78275957301458,43.631017234959614,45.13786971712048
2016-05-14,40.3,17.6375,25.0,False,40.63452377443573,40.22083266116303,42.07062713602843
2016-05-15,41.358,19.079166666666666,27.8,False,42.612087834271925,41.857791405512394,43.215163104589365
2016-05-16,47.289,21.6125,30.0,False,51.43124559214738,47.78861734635338,50.270831984124605
2016-05-17,52.433,26.0375,34.4,False,58.15987591933787,56.017895407164204,59.418327899314576
2016-05-18,56.784,25.187500000000004,36.1,False,58.87977522395284,56.283801978102915,58.40547400060289
2016-05-19,47.593,19.645833333333336,26.1,False,46.386028060244705,46.365211717963206,47.40130056179923
2016-05-20,41.214,14.379166666666668,20.0,False,43.106794384799905,41.988409048118996,41.893392524338935
2016-05-21,37.8,14.629861111111111,20.0,False,39.832234478697366,39.054144344664564,38.913247076823474
2016-05-22,37.624,15.329166666666666,21.7,False,39.03083509444315,38.473707449141976,39.275168606455594
2016-05-23,42.076,16.620833333333334,23.9,False,43.56809536014967,42.65950298449532,44.51110692867194
2016-05-24,43.379,16.59130434782609,23.3,False,43.512887381636986,43.230573006144304,44.27303529700656
2016-05-25,44.362,17.685416666666665,25.6,False,44.46373867161404,44.86050457525303,45.650194140434834
2016-05-26,46.528,19.39166666666667,28.3,False,46.39336593124575,46.91499299879721,47.07008402682415
2016-05-27,48.38,22.01666666666667,31.7,False,52.63844611471524,49.13019033756814,50.80029895293215
2016-05-28,46.834,24.212499999999995,32.2,False,54.1558962485285,47.33401747212909,51.46378704965426
2016-05-29,48.539,22.816666666666663,33.3,False,52.7794205221847,47.71878727637595,48.551325268530576
2016-05-30,53.095,24.212499999999995,35.0,True,54.855122257201494,50.58122407263043,52.7637509227448
2016-05-31,62.454,26.404166666666654,38.3,False,63.299250229058046,58.69750136956323,60.66100580568124
2016-06-01,62.747,25.32083333333333,35.0,False,62.44896383957309,63.24672454235019,63.452314766967916
2016-06-02,60.449,24.445833333333336,36.7,False,59.00516145911579,61.375199726593635,61.990164503415194
2016-06-03,64.445,28.099999999999994,38.9,False,67.70342521270003,64.94532928702797,67.8106191832633
2016-06-04,57.759,26.412500000000005,33.9,False,63.38690404661224,56.30494429988642,60.65364266909465
2016-06-05,57.865,24.95416666666667,36.1,False,58.83309017490249,57.483378459702315,57.79259518364541
2016-06-06,59.763,22.0625,32.2,False,55.398252460334824,55.75043120481944,56.3807245442009
2016-06-07,54.751,20.439583333333328,29.4,False,50.98430085423251,51.7047960434092,53.55231334310873
2016-06-08,49.982,19.525,28.3,False,50.214180619911374,51.2949328557042,52.00539235713616
2016-06-09,48.851,19.523611111111112,26.7,False,49.412725787427206,48.79079678781135,51.62578047351281
2016-06-10,47.779,19.8875,28.3,False,49.361854919381656,48.46756626321315,51.425696701027974
2016-06-11,46.011,22.266666666666666,31.1,False,52.68606063672351,49.620446173006535,52.76272992810793
2016-06-12,48.614,21.870833333333334,29.4,False,51.57151505844439,49.31595840765317,51.23521490814292
2016-06-13,48.351,19.01875,26.7,False,46.75888861919111,48.85096860395447,50.073689641554914
