,"Electricity demand, daily sum, (GWh)","Electricity power, daily peak, (GW)","Temperature, daily mean (degC)","Temperature, daily peak (degC)",HDH_5,HDH_6,HDH_7,HDH_8,HDH_9,HDH_10,HDH_11,HDH_12,HDH_13,HDH_14,HDH_15,HDH_16,HDH_17,HDH_18,HDH_19,HDH_20,HDH_21,HDH_22,HDH_23,HDH_24,CDH_5,CDH_6,CDH_7,CDH_8,CDH_9,CDH_10,CDH_11,CDH_12,CDH_13,CDH_14,CDH_15,CDH_16,CDH_17,CDH_18,CDH_19,CDH_20,CDH_21,CDH_22,CDH_23,CDH_24,CDH_25,CDH_26,CDH_27,CDH_28,CDH_29,Holiday,Weekend,Non-workDay,Day Type
2015-07-22,90.692,4.676,23.38333333333334,27.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1999999999999993,7.366666666666664,19.16666666666666,33.66666666666666,441.2,417.2000000000001,393.2000000000001,369.2000000000001,345.2,321.2,297.19999999999993,273.2,249.2,225.2,201.2,177.2,153.2,129.20000000000002,105.20000000000002,81.20000000000002,57.40000000000003,40.56666666666668,28.366666666666667,18.866666666666667,11.2,5.599999999999998,1.1999999999999993,0.0,0.0,False,False,False,Working Day
2015-07-23,89.53,4.764,23.475000000000005,29.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5000000000000036,8.900000000000002,17.200000000000003,28.600000000000005,42.7,443.4,419.4,395.4,371.4,347.40000000000003,323.40000000000003,299.40000000000003,275.40000000000003,251.4,227.4,203.4,179.4,155.4,131.4,107.4,84.9,68.3,52.6,40.0,30.1,21.1,14.099999999999998,7.699999999999999,2.8999999999999986,0.3999999999999986,False,False,False,Working Day
2015-07-24,94.053,5.155,25.337499999999995,31.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.199999999999996,7.099999999999998,15.099999999999998,24.8,488.1,464.1,440.1,416.1,392.1,368.1,344.1,320.1,296.1,272.1,248.1,224.1,200.1,176.10000000000002,152.10000000000002,128.10000000000002,106.30000000000004,87.2,71.2,56.89999999999999,43.50000000000001,33.3,24.6,16.799999999999997,9.9,False,False,False,Working Day
2015-07-25,88.759,4.703,25.95833333333333,32.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1999999999999955,6.299999999999994,13.499999999999991,22.7,503.0,479.0,455.0,431.0,407.0,383.0,359.0,334.99999999999994,311.0,286.99999999999994,262.99999999999994,239.0,215.0,191.00000000000003,167.00000000000003,143.00000000000003,120.2,101.3,84.5,69.70000000000002,56.70000000000001,44.70000000000001,34.5,25.300000000000004,17.700000000000003,False,True,True,Non-Working Day
2015-07-26,82.274,4.282,24.066666666666663,29.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.799999999999997,10.999999999999991,22.199999999999992,35.89999999999999,457.6,433.6,409.6,385.6,361.6,337.6000000000001,313.6,289.6,265.6,241.6,217.6,193.6,169.59999999999997,145.6,121.6,97.6,76.4,60.6,47.8,37.49999999999999,27.499999999999996,18.89999999999999,11.199999999999992,5.799999999999994,0.9999999999999964,False,True,True,Non-Working Day
2015-07-27,89.502,4.775,22.808333333333334,28.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4000000000000057,5.200000000000006,12.600000000000003,22.700000000000003,36.2,50.899999999999984,427.4,403.4,379.4,355.4,331.4,307.4,283.4,259.3999999999999,235.39999999999992,211.39999999999995,187.39999999999995,163.39999999999998,139.39999999999998,115.4,91.8,72.60000000000002,56.00000000000002,42.10000000000001,31.6,22.3,13.900000000000002,7.300000000000001,2.5,0.3000000000000007,0.0,False,False,False,Working Day
2015-07-28,92.792,5.093,24.02500000000001,31.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6999999999999993,5.900000000000002,14.15,24.45,36.2,49.29999999999999,456.6000000000001,432.6,408.6,384.6,360.6,336.6,312.6,288.6,264.6000000000001,240.6,216.6,192.6,168.6,144.6,122.29999999999998,102.5,86.75,73.05,60.8,49.900000000000006,39.900000000000006,30.90000000000001,22.800000000000004,14.800000000000004,8.200000000000003,False,False,False,Working Day
2015-07-29,93.37,5.135,23.827430555555555,31.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4750000000000014,5.541666666666671,14.541666666666671,24.24166666666667,35.84166666666667,49.94166666666668,451.85833333333335,427.8583333333333,403.8583333333333,379.8583333333333,355.8583333333333,331.8583333333333,307.8583333333333,283.8583333333333,259.8583333333333,235.85833333333332,211.85833333333332,187.85833333333332,163.85833333333335,139.85833333333332,116.33333333333331,97.4,82.4,68.1,55.7,45.8,36.8,28.200000000000003,20.200000000000003,12.400000000000002,6.700000000000003,False,False,False,Working Day
2015-07-30,96.77,5.381,25.649999999999995,31.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3000000000000007,5.100000000000001,14.000000000000004,495.6,471.6,447.6,423.6,399.5999999999999,375.5999999999999,351.5999999999999,327.5999999999999,303.5999999999999,279.5999999999999,255.6,231.6,207.6,183.6,159.60000000000002,135.60000000000005,111.60000000000002,87.90000000000003,68.70000000000002,53.60000000000001,41.8,32.6,24.9,17.900000000000002,11.6,False,False,False,Working Day
2015-07-31,98.945,5.435,25.89375,32.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3999999999999986,2.9499999999999997,8.95,18.25,501.4499999999999,477.4499999999999,453.4499999999999,429.4499999999999,405.4499999999999,381.4499999999999,357.4499999999999,333.44999999999993,309.45,285.45,261.45000000000005,237.45,213.45,189.45,165.45000000000002,141.45000000000002,117.85000000000002,96.4,78.39999999999999,63.7,53.3,43.3,34.50000000000001,26.500000000000004,18.600000000000005,False,False,False,Working Day
